ID,Term,Original Score,Adjusted Score,Average Adjusted By User ID,Confidence,Explanation
27,Collaborative,0.75,0.75,0.7,High,"Without additional context, the score remains the same at moderately high for its inherent positive connotations."
,Connected,0.65,0.65,,Medium,"The term 'connected' carries a generally positive sentiment, and without further context, it remains unadjusted."
,Motivating,0.75,0.75,,High,"'Motivating' inherently carries a positive sentiment, and without additional context, the score remains the same. "
,Organized,0.7,0.7,,High,'Organized' has a positive sentiment for its implications of orderliness and efficiency.
,Relevant,0.65,0.65,,High,'Relevant' possess a neutral-positive sentiment implying significance and importance.
28,Appealing,0.7,0.9,0.84,High,The high adjusted score reflects the strong positive sentiment conveyed by describing the task as 'interesting'.
,Motivating,0.75,0.9,,High,The sentiment is amplified by the additional explanation of the efforts put in to achieve a hard goal.
,Relevant,0.65,0.9,,High,The strong positive sentiment is due to the connection made between the project and its practical value in real-world job scenarios.
,Time-consuming,0.4,0.55,,Medium,"Though generally negative, it's adjusted to be more neutral due to the acknowledgement of its benefits and personal choice to spend extra time."
,Useful,0.8,0.95,,High,"The high scores reflect the strong positive sentiment associated with usefulness, made even stronger by the real-world application described."
29,Customizable,0.72,0.72,0.774,High,"The term carries a positive sentiment, indicating flexibility and adaptability."
,Fun,0.85,0.85,,High,"'Fun' implies enjoyment and excitement, bringing with it a strong positive sentiment."
,Motivating,0.75,0.75,,High,"Without additional context, 'motivating' retains its positive sentiment."
,Stimulating,0.75,0.75,,High,"No context is provided, but the word 'stimulating' itself implies a positive, engaging sentiment."
,Valuable,0.8,0.8,,High,"'Valuable' carries a strong positive sentiment, indicating worth and importance."
30,Intimidating,0.35,0.35,0.594,Medium,"'Intimidating' generally implies a negative sentiment, signifying fear or apprehension."
,Motivating,0.75,0.75,,High,"With no additional context given, 'motivating' maintains its positive sentiment."
,Overwhelming,0.4,0.4,,Medium,"'Overwhelming' generally has a negative sentiment, implying a state of excessive difficulty or enormity. "
,Stimulating,0.75,0.75,,High,"With no additional context, 'stimulating' retains its inherent positivity, suggesting engagement and excitement."
,Usable,0.72,0.72,,Medium,"'Usable' carries a mostly positive sentiment, indicating utility and practicality. "
31,Collaborative,0.75,0.75,0.56,High,"'Collaborative', even without context, connotes positivity due to the value placed on teamwork."
,Frustrating,0.3,0.3,,Medium,"'Frustrating' carries a negative sentiment, indicating annoyance or exasperation. "
,Fun,0.85,0.85,,High,"'Fun' inherently has a highly positive sentiment, implying enjoyment and excitement."
,Time-consuming,0.4,0.4,,Medium,"'Time-consuming' implies a slightly negative sentiment, indicating laborious or overly lengthy process."
,Unpredictable,0.5,0.5,,Medium,"'Unpredictable' has a neutral sentiment, potentially positive or negative depending on context. "
32,Complex,0.6,0.7,0.78,Medium,"Complex has a mildly positive sentiment, indicating depth and intricacy, with a boost due to the additional context."
,Comprehensive,0.7,0.85,,High,"'Comprehensive' carries a positive sentiment, indicating thoroughness and completeness. Given the context, the sentiment can be amplified a bit."
,Organized,0.7,0.8,,High,"'Organized' inherently has a positive sentiment, made stronger by the context of easy locating of components."
,Overwhelming,0.9,0.8,,High,"The word overwhelming has a strong negative sentiment due to its association with feelings of being overloaded or stressed. The explanation shows the user's struggle to cope with the workload, reinforcing the negative sentiment, but the indicated desire to work and engage reduces it slightly, hence the adjusted score."
,Usable,0.65,0.75,,Medium,"Usable is initially considered positively as it signifies functionality. The explanation reveals a somewhat negative experience of actually using it, but it is not wholly negative due to compliments about commenting and partitioning. Therefore the score is adjusted upward."
33,Attractive,0.8,0.9,0.85,High,"The word attractive holds a positive sentiment as it suggests being pleasant or appealing. The explanation describes a good experience, enhancing the already positive sentiment making the final score higher."
,Exciting,0.85,0.9,,High,"Exciting carries a positive sentiment, implying anticipation or enthusiasm. The given context also indicates a fun and thrilling activity, bolstering the positive sentiment evidenced by a higher adjusted rating."
,Motivating,0.9,0.9,,High,Motivating has a strong positive sentiment due to the inherent aspect of inspiration and drive. The explanation is in line with this sentiment and the score remains the same.
,Useful,0.75,0.8,,Medium,"The term 'useful' has a positive sentiment as it signifies practical utility or benefit. The explanation paints a picture of learning and growth, enhancing the positive sentiment."
,Valuable,0.85,0.75,,Medium,"Valuable denotes a high degree of worth or usefulness. The explanation provides a sense of achievement, but the word 'do' suggests a task-oriented, rather than interest-based perspective, which slightly lowers the sentiment."
34,Customizable,0.85,0.85,0.72,High,Customizable has a positive sentiment because it implies flexibility and personalization. The explanation doesn't alter this sentiment so the score remains the same.
,Exciting,0.85,0.9,,High,"As stated before, exciting has a positive connotation. In this context, it's used to describe a rewarding experience of seeing programming work, which reinforces its positive sentiment."
,Frustrating,0.15,0.1,,High,"Frustrating has a strong negative sentiment implying difficulty and annoyance. The explanation cites difficulties and challenges, echoing this negative sentiment and resulting in a slightly lower adjusted score."
,High quality,0.9,0.85,,High,"High quality has a strong positive sentiment as it suggests excellence. The explanation supports this sentiment but also mentions difficulty in implementation, resulting in a slight reduction in sentiment score."
,Stimulating,0.85,0.9,,High,Stimulating suggests a positive sentiment of intellectual excitement. The description of a unique and interesting experience increases the sentiment.
35,Gets in the way,0.1,0.05,0.37,High,"Gets in the way has a strong negative sentiment as it implies obstruction or hindrance. The explanation refers to stress and mental health issues, reinforcing the negative sentiment and lowering its score."
,Intimidating,0.2,0.1,,Low,"Intimidating has a strong negative sentiment indicating fear or apprehension. The explanation and sentiment are quite strongly mismatched as it also talks about value and motivation, hence the lower confidence and downward adjustment."
,Not valuable,0.15,0.05,,High,"Not valuable has a very negative sentiment as it points to lack of worth. The explanation carries strong negative sentiment as it talks about a complete lack of interest and relevance, reducing the score further."
,Overwhelming,0.9,0.7,,Medium,The word 'overwhelming' is negative as it points to pressure and stress. The explanation underlines the difficulty to learn and frustration which reduces the sentiment score.
,Stressful,0.9,0.95,,High,"The word 'stressful' inherently carries a negative sentiment. It is heightened by the explanation, which mentions the speaker's lack of motivation and value, feelings of intimidation, and distress until tears."
36,Accessible,0.8,0.9,0.91,Medium,"'Accessible' generally carries a positive sentiment. In context, the speaker expresses appreciation for being able to handle a complex project in small, manageable tasks, increasing the positivity."
,Fresh,0.7,0.8,,High,"The term 'fresh' has a positive sentiment, indicating newness and uniqueness. This is reinforced by the speaker enjoying the unique, competitive nature of the assignment."
,Fun,0.85,1,,High,"'Fun' is inherently positive. This positivity is reinforced in context, as the speaker was engaged and found the strategic and competitive nature of the assignments enjoyable."
,Stimulating,0.8,1,,High,"'Stimulating' is inherently positive, and the sentiment is increased due to the same reasons stated for 'fun'."
,Valuable,0.75,0.85,,Medium,"'Valuable' carries inherent positive sentiment, which is increased slightly as speaker finds the application of learning entertaining and the reflection on efficiency rewarding."
37,Appealing,0.75,0.85,0.84,High,"'Appealing' is inherently positive, increased by the speaker's interest and goals in coding video games."
,Complex,0.6,0.75,,Medium,"'Complex' generally carries a neutral sentiment, but it is slightly positive here because the speaker implies that though initial look was overwhelming, the complexity could be moderation."
,Fun,0.85,0.95,,High,"'Fun' is inherently positive. The given context articulates enjoyment in problem-solving, increasing the positive sentiment."
,Intimidating,0.9,0.7,,Medium,"'Intimidating' inherently carries a negative sentiment. However, the negativity is slightly decreased as the speaker realizes that the task is simpler than initially thought."
,Motivating,0.85,0.95,,High,'Motivating' is inherently positive. This positivity is heightened as the speaker is inspired by the connection to their goal of coding video games.
38,Easy to use,0.8,0.8,0.75,High,"'Easy to use' carries a positive sentiment, with no additional context to adjust the score."
,Flexible,0.8,0.8,,High,"'Flexible' is inherently positive, with no additional context to adjust the score."
,Fun,0.85,0.85,,High,"'Fun' is inherently positive, with no additional context to adjust the score."
,Simplistic,0.6,0.6,,Medium,"'Simplistic' has a neutral sentiment, with no additional context to adjust the score."
,Usable,0.7,0.7,,High,"'Usable' has a slightly positive sentiment, with no additional context to adjust the score."
39,Exciting,0.9,0.9,0.83,High,"'Exciting' has a positive sentiment, with no additional context to adjust the score."
,Fun,0.85,0.85,,High,"'Fun' is inherently positive, with no additional context to adjust the score."
,Motivating,0.85,0.85,,High,"'Motivating' is inherently positive, with no additional context to adjust the score."
,Stimulating,0.8,0.8,,High,"'Stimulating' has a positive sentiment, with no additional context to adjust the score."
,Valuable,0.75,0.75,,High,"'Valuable' is inherently positive, with no additional context to adjust the score."
40,Exciting,0.9,0.95,0.67,High,'Exciting' has a positive sentiment. The explanation that the speaker liked the final game amplifies the positive sentiment.
,Fun,0.8,0.6,,High,"The word 'fun' generally carries a positive sentiment,  but when coupled with the complete sentence,  implying that the speaker doesn't feel prepared for the semester,  the sentiment decreases in positivity."
,Gets in the way,0.3,0.3,,Medium,"This phrase suggests interference or obstacle,  which generally carries a negative sentiment,  but there are no further contexts for adjustments. "
,High quality,0.85,0.85,,High,"This indicates a superior or excellent standard,  thus indicating very positive sentiment. There's no explanation for an adjusted score."
,Usable,0.65,0.65,,High,"This term implies functionality and practical usefulness,  indicating positive sentiment. No explanation for an adjusted score is provided."
41,Complex,0.4,0.3,0.75,High,"'Complex' is broadly neutral,  but can lean slightly negative as it may imply confusion or difficulty. However,  the explanation suggests it is seen as a larger piece of software,  making it slightly more negative."
,Stimulating,0.7,0.85,,High,The word 'stimulating' has a positive connotation. The explanation indicates high positivity because of the interesting experience of seeing everything working together.
,Straight forward,0.75,0.9,,High,This term generally denotes ease and simplicity. The explanation that methods were easy to find and implement after some effort increases the positivity.
,Usable,0.65,0.75,,High,"The term is generally positive,  and the explanation—indicating practical examples were given—increases its sentiment score."
,Valuable,0.85,0.95,,High,"It carries a positive sentiment,  and the sentiment increases based on how the context explains how valuable it's to learn about full systems. "
42,Fun,0.8,0.7,0.39,Medium,"'Fun' is usually positive,  but its sentiment slightly decreases as per the context that suggests it's better to be interesting rather than just fun."
,Hard to use,0.2,0.2,,Low,This indicates a negative sentiment due to its implication of difficulty. There's no explanation for an adjusted score.
,Slow,0.25,0.25,,Medium,"This implies a delay or lack of speed,  which generally is seen as negative. No explanation is provided for an adjusted score."
,Uncontrollable,0.2,0.2,,Low,"'Uncontrollable' signifies a lack of control or manageability,  thus resulting in a negative sentiment. No explanation is provided for an adjusted score."
,Unconventional,0.6,0.6,,Medium,"This term can be neutral or positive depending on context,  referring to uniqueness or novelty. No context is provided for an adjusted score."
43,Comprehensive,0.8,0.8,0.75,High,"This suggests thoroughness and completeness,  which are generally positive. No explanation is provided for an adjusted score. "
,Easy to use,0.85,0.9,,High,"Implies usability and simplicity,  which is positive. The explanation highlights a positive experience with the game,  which boosts sentiments slightly."
,Stimulating,0.7,0.85,,High,This has a positive connotation. Given the context—prompting thinking about certain actions—the sentiment rises.
,Straight forward,0.75,0.75,,High,Suggests simplicity and directness. There is no explanation for an adjusted score. 
,Time-consuming,0.3,0.45,,Medium,"This term suggests taking a lot of time,  which is generally negative. However,  the explanation suggests it's not seen as bad in this context,  thus the sentiment score is slightly increased. "
44,Customizable,0.75,0.75,0.76,High,"Indicates flexibility,  adaptability,  and personalization,  which are generally positive. There's no explanation for an adjusted score."
,Fresh,0.7,0.7,,High,The term 'fresh' indicates novelty and thus has a positive sentiment. There's no explanation for an adjusted score. 
,Fun,0.8,0.95,,High,This carries a positive sentiment. It's sentiment increases as the context expresses sheer enjoyment in the project. 
,Stimulating,0.7,0.85,,High,This already has a positive meaning. The context of cognitive usage enhances its sentimentality.
